Div.,Article,Sebango,Forced
1268,1823525000,5250,X
1268,1823527000,5270,X
1268,1823532000,5320,X
1268,1823532600,5326,X
1268,1823533000,5330,X
1268,1823533600,5336,X
1268,1823534000,5340,X
1268,1823534600,5346,X
1268,1823535000,5350,X
1268,1823535900,5359,X
1268,1823536000,5360,X
1268,1823538000,5380,X
1268,1823538900,5389,X
1268,1823550000,5500,X
1268,1823550600,5506,X
1268,1823552000,5520,X
1268,1823552900,5529,X
1268,1823553000,5530,X
1268,1823553100,5531,X
1268,1823554000,5540,X
1268,1823556000,5560,X
1268,1823556600,5566,X
1268,1823557000,5570,X
1268,1823557600,5576,X
1268,1823558600,5586,X
1268,1823559000,5590,X
1268,1823585600,5856,X
1268,1823600100,6001,X
1268,1823600600,6006,X
1268,1823601100,6011,X
1268,1823601600,6016,X
1268,1823602100,6021,X
1268,1823602600,6026,X
1268,1823615000,6150,X
1268,1823619600,6196,X
1268,1823628000,6280,X
1268,1823632000,6320,X
1268,1823634000,6340,X
1268,1823635000,6350,X
1268,1823663000,6630,X
1268,1823663100,6631,X
1268,1823663600,6636,X
1268,1823665100,6651,X
1268,1823665600,6656,X
1268,1823665900,6659,X
1268,1823751000,7510,X
1268,1823751900,7519,X
1268,1823770600,7706,X
1268,1823772600,7726,X
1268,1823801600,8016,X
1268,1823802600,8026,X
1268,1823824600,8246,X
1268,1823826600,8266,X
1268,1823830000,8300,X
1268,1823876000,8760,X
1268,1823884000,8840,X
1268,1823884170,8841,X
1268,1823885000,8850,X
1268,1823886000,8860,X
1268,1823886170,8861,X
1268,1823887000,8870,X
1268,1823887170,8871,X
1268,1823888000,8880,X
1268,1823888170,8881,X
1268,1823890170,8901,X
1268,1823971000,9710,X
1268,1823981000,9810,X
1268,1824033000,0330,X
1268,1824042000,0420,X
1268,1824042900,0429,X
1268,1824056000,0560,X
1268,1824057000,0570,X
1268,1824101000,1010,X
1268,1824101600,1016,X
1268,1824140000,1400,X
1268,1824140600,1406,X
1268,1824141000,1410,X
1268,1824141600,1416,X
1268,1824143000,1430,X
1268,1824143900,1439,X
1268,1824146600,1466,X
1268,1824148900,1489,X
1268,1824149000,1490,X
1268,1824149600,1496,X
1268,1824151000,1510,X
1268,1824151600,1516,X
1268,1824152000,1520,X
1268,1824152600,1526,X
1268,1824153000,1530,X
1268,1824153600,1536,X
1268,1824154000,1540,X
1268,1824154600,1546,X
1268,1824155000,1550,X
1268,1824155600,1556,X
1268,1824157900,1579,X
1268,1824168600,1686,X
1268,1824182900,1829,X
1268,1824195000,1950,X
1268,1824200900,2009,X
1268,1824267000,2670,X
1268,1824284100,2841,X
1268,1824286000,2860,X
1268,1824286600,2866,X
1268,1824287600,2876,X
1268,1824358600,3586,X
1268,1824359000,3590,X
1268,1824359600,3596,X
1268,1824360600,3606,X
1268,1824381000,3810,X
1268,1824383600,3836,X
1268,1824384600,3846,X
1268,1824400070,4000,X
1268,1824405070,4050,X
1268,1824413000,4130,X
1268,1824413100,4131,X
1268,1824635000,6350,X
1268,1824652600,6526,X
1268,1824653000,6530,X
1268,1824653600,6536,X
1268,1824658000,6580,X
1268,1824658600,6586,X
1268,1824659600,6596,X
1268,1824743100,7431,X
1268,1824746000,7460,X
1268,1824746900,7469,X
1268,1824748000,7480,X
1268,1824794600,7946,X
1268,1824795600,7956,X
1268,1824804000,8040,X
1268,1824817000,8170,X
1268,1824853000,8530,X
1268,1824853900,8539,X
1268,1824854000,8540,X
1268,1824855000,8550,X
1268,1824885900,8859,X
1268,1824886000,8860,X
1268,1824886900,8869,X
1268,1824889000,8890,X
1268,1824890600,8906,X
1268,1824891000,8910,X
1268,1825002900,0029,X
1268,1825015612,0156,X
1268,1825021640,0216,X
1268,1825022640,0226,X
1268,1825023640,0236,X
1268,1825025640,0256,X
1268,1825028640,0286,X
1268,1825029642,0296,X
1268,1825030648,0306,X
1268,1825037641,0376,X
1268,1825038636,0386,X
1268,1825040628,0406,X
1268,1825043640,0436,X
1268,1825045000,0450,X
1268,1825052000,0520,X
1268,1825100000,1000,X
1268,1825188000,1880,X
1268,1825195000,1950,X
1268,1825255000,2550,X
1268,1825281000,2810,X
1268,1825301000,3010,X
1268,1825306000,3060,X
1268,1825372000,3720,X
1268,1825397000,3970,X
1268,1825425000,4250,X
1268,1825457000,4570,X
1268,1825562000,5620,X
1268,1825578000,5780,X
1268,1825588000,5880,X
1268,1825665000,6650,X
1268,1825689000,6890,X
1268,1825720000,7200,X
1268,1825725000,7250,X
1268,1825728800,7288,X
1268,1825729000,7290,X
1268,1827146600,1466,X
1268,1827160600,1606,X
1268,1827161000,1610,X
1268,1827162000,1620,X
1268,1827163000,1630,X
1268,1827164000,1640,X
1268,1827165600,1656,X
1268,1827166000,1660,X
1268,1827166600,1666,X
1268,1827167000,1670,X
1268,1827169000,1690,X
1268,1827169900,1699,X
1268,1827173000,1730,X
1268,1827177000,1770,X
1268,1827177900,1779,X
1268,1827178000,1780,X
1268,1827178070,1780,X
1268,1827188000,1880,X
1268,1827213600,2136,X
1268,1827330600,3306,X
1268,1827338100,3381,X
1268,1827346600,3466,X
1268,1827364070,7364,X
1268,1827364100,3641,X
1268,1827368600,3686,X
1268,1827388070,3880,X
1268,1827534600,5346,X
1268,1827550000,5500,X
1268,1827551000,5510,X
1268,1827552000,5520,X
1268,1827553000,5530,X
1268,1827554000,5540,X
1268,1827555000,5550,X
1268,1827566000,5660,X
1268,1827566100,5661,X
1268,1827585000,5850,X
1268,1827585900,5859,X
1268,1827586000,5860,X
1268,1827732600,7326,X
1268,1827733600,7336,X
1268,1827733900,7339,X
1268,1827760000,7600,X
1268,1827760900,7609,X
1268,1827807000,8070,X
1268,1827807800,8078,X
1268,1827894000,8940,X
1268,1827895000,8950,X
1268,1827896000,8960,X
1268,1827898000,8980,X
1268,1827898600,8986,X
1268,1827899600,8996,X
1268,1827900000,9000,X
1268,1827907000,9070,X
1268,1827943000,9430,X
1268,1827944000,9440,X
1268,1827944900,9449,X
1268,1827945000,9450,X
1268,1827945900,9459,X
1268,1827986000,9860,X
1268,1828039070,0390,X
1268,1828207000,2070,X
1268,1828208000,2080,X
1268,1828208600,2086,X
1268,1828210000,2100,X
1268,1828210600,2106,X
1268,1828241600,2416,X
1268,1828242600,2426,X
1268,1828243900,2439,X
1268,1828296000,2960,X
1268,1828296900,2969,X
1268,1828354000,3540,X
1268,1882646000,6460,X
1268,1828357000,3570,X
1268,1828357600,3576,X
1268,1828358000,3580,X
1268,1828361000,3610,X
1268,1828374000,3740,X
1268,1828374900,3749,X
1268,1828385000,3850,X
1268,1828385100,3851,X
1268,1828395000,3950,X
1268,1828396000,3960,X
1268,1828439000,4390,X
1268,1828449600,4496,X
1268,1828492000,4920,X
1268,1828492900,4929,X
1268,1828506000,5060,X
1268,1828513000,5130,X
1268,1828520000,5200,X
1268,1828520900,5209,X
1268,1828657070,6570,X
1268,1828659600,6596,X
1268,1828668600,6686,X
1268,1828680600,6806,X
1268,1828680900,6809,X
1268,1828681600,6816,X
